제작사,제원관리번호,차명,연식,제작일자,셀 간 균형,평균전압_OCV_meas,SOC_calc,사용연수(t),캘린더 열화(△Q_cal),사이클 열화(△Q_cyc),SoH_pred(%),취득원가,연간감가비,조정연간감가비,중고거래가격
기아 주식회사,A0110007300181221,EV6,2022,2021-11-15,우수,4.08,94.49541453,3.675,0.038340579,0.119538113,84.21213076,"₩25,400,000 ","₩4,667,250 ","₩5,542,254 ","₩19,857,746 "
기아 주식회사,A0110007300061221,EV6,2022,2021-10-20,우수,4.08,94.49541453,3.744444444,0.038701134,0.06329544,89.80034256,"₩25,400,000 ","₩4,755,444 ","₩5,295,575 ","₩20,104,425 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-15,우수,4.08,94.49541453,3.591666667,0.037903386,0.078992548,88.31040658,"₩25,400,000 ","₩4,561,417 ","₩5,165,209 ","₩20,234,791 "
기아 주식회사,A0110007300061221,EV6,2022,2021-11-08,우수,4.08,94.49541453,3.694444444,0.038441875,0.111363043,85.0195082,"₩25,400,000 ","₩4,691,944 ","₩5,518,668 ","₩19,881,332 "
기아 주식회사,A0110007300181221,EV6,2022,2021-11-02,우수,4.08,94.49541453,3.711111111,0.038528489,0.139476235,82.19952762,"₩25,400,000 ","₩4,713,111 ","₩5,733,745 ","₩19,666,255 "
기아 주식회사,A0110007300201221,EV6,2022,2021-11-15,우수,4.08,94.49541453,3.675,0.038340579,0.120503428,84.11559931,"₩25,400,000 ","₩4,667,250 ","₩5,548,614 ","₩19,851,386 "
기아 주식회사,A0110007300251221,EV6,2022,2021-12-02,우수,4.08,94.49541453,3.627777778,0.038093452,0.070483572,89.1422976,"₩25,400,000 ","₩4,607,278 ","₩5,168,453 ","₩20,231,547 "
기아 주식회사,A0110007300251221,EV6,2022,2021-12-02,우수,4.08,94.49541453,3.627777778,0.038093452,0.067069042,89.48375061,"₩25,400,000 ","₩4,607,278 ","₩5,148,731 ","₩20,251,269 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-01,우수,4.08,94.49541453,3.713888889,0.038542905,0.123315243,83.81418513,"₩25,400,000 ","₩4,716,639 ","₩5,627,495 ","₩19,772,505 "
기아 주식회사,A0110007300181221,EV6,2022,2021-11-15,우수,4.08,94.49541453,3.675,0.038340579,0.065146169,89.65132525,"₩25,400,000 ","₩4,667,250 ","₩5,206,002 ","₩20,193,998 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-11,우수,4.08,94.49541453,3.602777778,0.037961969,0.042210463,91.98275682,"₩25,400,000 ","₩4,575,528 ","₩4,974,332 ","₩20,425,668 "
기아 주식회사,A0110007300061221,EV6,2022,2021-11-24,우수,4.08,94.49541453,3.65,0.038209946,0.105618808,85.61712453,"₩25,400,000 ","₩4,635,500 ","₩5,414,221 ","₩19,985,779 "
기아 주식회사,A0110007300251221,EV6,2022,2021-12-02,우수,4.08,94.49541453,3.627777778,0.038093452,0.070006738,89.18998096,"₩25,400,000 ","₩4,607,278 ","₩5,165,690 ","₩20,234,310 "
기아 주식회사,A0110007300181221,EV6,2022,2021-11-24,우수,4.08,94.49541453,3.65,0.038209946,0.098014632,86.37754218,"₩25,400,000 ","₩4,635,500 ","₩5,366,557 ","₩20,033,443 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-02,우수,4.08,94.49541453,3.711111111,0.038528489,0.074301409,88.71701019,"₩25,400,000 ","₩4,713,111 ","₩5,312,522 ","₩20,087,478 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-02,우수,4.0855,94.65649251,3.711111111,0.038528489,0.057507806,90.39637048,"₩25,400,000 ","₩4,713,111 ","₩5,213,828 ","₩20,186,172 "
기아 주식회사,A0110007300251221,EV6,2022,2021-11-25,우수,4.092333333,94.85661971,3.647222222,0.038195404,0.137050303,82.47542928,"₩25,400,000 ","₩4,631,972 ","₩5,616,184 ","₩19,783,816 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-14,우수,4.086,94.67113597,3.594444444,0.03791804,0.053493728,90.85882318,"₩25,400,000 ","₩4,564,944 ","₩5,024,217 ","₩20,375,783 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-20,우수,4.081666667,94.54422604,3.577777778,0.037830029,0.048812378,91.33575928,"₩25,400,000 ","₩4,543,778 ","₩4,974,807 ","₩20,425,193 "
기아 주식회사,A0110007300031221,EV6,2022,2022-01-04,우수,4.055,93.7962,3.538888889,0.037623869,0.080384467,88.19916637,"₩25,400,000 ","₩4,494,389 ","₩5,095,727 ","₩20,304,273 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-13,우수,4.0545,93.78251686,3.597222222,0.037932689,0.058979794,90.30875174,"₩25,400,000 ","₩4,568,472 ","₩5,058,726 ","₩20,341,274 "
기아 주식회사,A0110007300081221,EV6,2022,2021-11-18,우수,4.059166667,93.91022618,3.666666667,0.038297084,0.090452842,87.12500735,"₩25,400,000 ","₩4,656,667 ","₩5,344,811 ","₩20,055,189 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-14,우수,4.0535,93.75515057,3.594444444,0.03791804,0.040671159,92.14108004,"₩25,400,000 ","₩4,564,944 ","₩4,954,299 ","₩20,445,701 "
